iter	Passed	Remaining
0	0	27
1	0	26
2	0	25
3	1	25
4	1	28
5	1	27
6	2	26
7	2	26
8	2	26
9	2	26
10	3	26
11	3	26
12	3	26
13	4	25
14	4	25
15	4	25
16	5	25
17	5	25
18	5	25
19	6	25
20	6	24
21	6	24
22	7	24
23	7	23
24	7	23
25	7	22
26	8	22
27	8	22
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	11	17
40	12	17
41	12	16
42	12	16
43	12	16
44	13	16
45	13	15
46	13	15
47	14	15
48	14	15
49	14	14
50	15	14
51	15	14
52	15	13
53	15	13
54	16	13
55	16	12
56	16	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	24	6
80	24	5
81	24	5
82	25	5
83	25	4
84	25	4
85	26	4
86	26	3
87	26	3
88	27	3
89	27	3
90	27	2
91	28	2
92	28	2
93	28	1
94	29	1
95	29	1
96	29	0
97	30	0
98	30	0
99	30	0
